millis,lat,lon,sat,alt,data,hora,altp,p,ax,ay,az,gx,gy,gz,pqd
46225,-22.590944,-42.764539,12,11.70,2025/6/2,13:30:51,0.33,1026.53,0.07,9.59,-0.04,-0.06,-0.01,0.01,0
46485,-22.590944,-42.764539,12,11.70,2025/6/2,13:30:51,0.41,1026.52,0.02,9.54,0.06,0.00,-0.15,-0.00,0
46770,-22.590944,-42.764539,12,11.70,2025/6/2,13:30:51,0.58,1026.50,-0.06,9.38,-0.11,0.03,-0.29,0.04,0
47017,-22.590944,-42.764539,12,11.70,2025/6/2,13:30:52,0.23,1026.54,-0.27,9.48,0.11,0.03,-0.14,0.07,0
47352,-22.590944,-42.764539,12,11.70,2025/6/2,13:30:52,0.35,1026.53,-0.06,9.61,0.09,-0.09,-0.03,-0.02,0
47585,-22.590944,-42.764539,12,11.70,2025/6/2,13:30:52,0.56,1026.50,-0.21,9.85,0.18,0.02,0.05,0.10,0
47813,-22.590944,-42.764539,12,11.70,2025/6/2,13:30:52,0.20,1026.55,0.16,9.59,-0.26,-0.01,-0.02,-0.11,0
48045,-22.590944,-42.764539,12,11.70,2025/6/2,13:30:53,0.26,1026.54,-0.28,9.44,0.20,-0.03,-0.10,0.17,0
48281,-22.590944,-42.764539,12,11.70,2025/6/2,13:30:53,0.47,1026.51,-0.10,9.49,-0.11,-0.00,0.08,0.09,0
48515,-22.590944,-42.764539,12,11.70,2025/6/2,13:30:53,0.43,1026.52,0.03,9.67,-0.18,0.03,0.10,-0.06,0
48745,-22.590944,-42.764539,12,11.70,2025/6/2,13:30:53,0.37,1026.53,0.12,9.53,-0.16,0.02,-0.09,0.12,0
48975,-22.590944,-42.764538,12,11.70,2025/6/2,13:30:54,0.50,1026.51,0.33,9.68,-0.22,-0.10,-0.17,0.03,0
49216,-22.590944,-42.764538,12,11.70,2025/6/2,13:30:54,0.37,1026.53,0.23,9.51,-0.17,0.09,-0.09,0.03,0
49457,-22.590944,-42.764538,12,11.70,2025/6/2,13:30:54,0.27,1026.54,0.17,9.71,0.06,-0.09,-0.06,0.04,0
49693,-22.590944,-42.764538,12,11.70,2025/6/2,13:30:54,0.35,1026.53,0.41,9.70,-0.25,-0.07,-0.06,-0.06,0
